expiry,type,strike,S,T,r,sigma,model,price,delta,gamma,theta,vega
2025-09-12,call,110.0,234.07000732421875,-0.0027397260273972603,0.05,7.746094067382813,Black-Scholes,124.07001282421861,1.0,0.0,-5.4999997250000074,0.0
2025-09-12,call,130.0,234.07000732421875,-0.0027397260273972603,0.05,5.851565185546875,Black-Scholes,104.07001382421859,1.0,0.0,-6.499999675000009,0.0
2025-09-12,call,140.0,234.07000732421875,-0.0027397260273972603,0.05,4.980472524414061,Black-Scholes,94.07001432421856,1.0,0.0,-6.999999650000009,0.0
2025-09-12,call,150.0,234.07000732421875,-0.0027397260273972603,0.05,4.546879316406249,Black-Scholes,84.07001482421856,1.0,0.0,-7.49999962500001,0.0
2025-09-12,call,160.0,234.07000732421875,-0.0027397260273972603,0.05,4.126957966308594,Black-Scholes,74.07001532421853,1.0,0.0,-7.99999960000001,0.0
2025-09-12,call,175.0,234.07000732421875,-0.0027397260273972603,0.05,3.410157724609375,Black-Scholes,59.07001607421853,1.0,0.0,-8.749999562500012,0.0
2025-09-12,call,180.0,234.07000732421875,-0.0027397260273972603,0.05,3.0253930615234372,Black-Scholes,54.07001632421853,1.0,0.0,-8.999999550000013,0.0
2025-09-12,call,185.0,234.07000732421875,-0.0027397260273972603,0.05,2.488285029296875,Black-Scholes,49.0700165742185,1.0,0.0,-9.249999537500011,0.0
2025-09-12,call,190.0,234.07000732421875,-0.0027397260273972603,0.05,1.765626171875,Black-Scholes,44.0700168242185,1.0,0.0,-9.499999525000012,0.0
2025-09-12,call,195.0,234.07000732421875,-0.0027397260273972603,0.05,2.355472861328124,Black-Scholes,39.0700170742185,1.0,0.0,-9.749999512500013,0.0
2025-09-12,call,200.0,234.07000732421875,-0.0027397260273972603,0.05,1.681642216796875,Black-Scholes,34.0700173242185,1.0,0.0,-9.999999500000014,0.0
2025-09-12,call,205.0,234.07000732421875,-0.0027397260273972603,0.05,1.1875040625,Black-Scholes,29.070017574218497,1.0,0.0,-10.249999487500013,0.0
2025-09-12,call,207.5,234.07000732421875,-0.0027397260273972603,0.05,1.32422212890625,Black-Scholes,26.570017699218482,1.0,0.0,-10.374999481250013,0.0
2025-09-12,call,210.0,234.07000732421875,-0.0027397260273972603,0.05,0.87500125,Black-Scholes,24.070017824218468,1.0,0.0,-10.499999475000013,0.0
2025-09-12,call,212.5,234.07000732421875,-0.0027397260273972603,0.05,1.43359658203125,Black-Scholes,21.57001794921848,1.0,0.0,-10.624999468750014,0.0
2025-09-12,call,215.0,234.07000732421875,-0.0027397260273972603,0.05,0.7656273437500001,Black-Scholes,19.070018074218467,1.0,0.0,-10.749999462500014,0.0
2025-09-12,call,217.5,234.07000732421875,-0.0027397260273972603,0.05,0.6210975390625001,Black-Scholes,16.570018199218453,1.0,0.0,-10.874999456250015,0.0
2025-09-12,call,220.0,234.07000732421875,-0.0027397260273972603,0.05,0.65039412109375,Black-Scholes,14.070018324218466,1.0,0.0,-10.999999450000015,0.0
2025-09-12,call,222.5,234.07000732421875,-0.0027397260273972603,0.05,0.79101771484375,Black-Scholes,11.570018449218452,1.0,0.0,-11.124999443750015,0.0
2025-09-12,call,225.0,234.07000732421875,-0.0027397260273972603,0.05,0.42774009765625004,Black-Scholes,9.070018574218466,1.0,0.0,-11.249999437500014,0.0
2025-09-12,call,227.5,234.07000732421875,-0.0027397260273972603,0.05,0.27539787109374997,Black-Scholes,6.570018699218451,1.0,0.0,-11.374999431250014,0.0
2025-09-12,call,230.0,234.07000732421875,-0.0027397260273972603,0.05,0.18360191406249998,Black-Scholes,4.070018824218437,1.0,0.0,-11.499999425000015,0.0
2025-09-12,call,232.5,234.07000732421875,-0.0027397260273972603,0.05,0.06836869140625002,Black-Scholes,1.5700189492184506,1.0,0.0,-11.624999418750015,0.0
2025-09-12,call,235.0,234.07000732421875,-0.0027397260273972603,0.05,0.04493142578125,Black-Scholes,0.0,0.0,0.0,-0.0,0.0
2025-09-12,call,237.5,234.07000732421875,-0.0027397260273972603,0.05,0.132821171875,Black-Scholes,0.0,0.0,0.0,-0.0,0.0
2025-09-12,call,240.0,234.07000732421875,-0.0027397260273972603,0.05,0.21094539062499998,Black-Scholes,0.0,0.0,0.0,-0.0,0.0
2025-09-12,call,242.5,234.07000732421875,-0.0027397260273972603,0.05,0.28125718749999995,Black-Scholes,0.0,0.0,0.0,-0.0,0.0
2025-09-12,call,245.0,234.07000732421875,-0.0027397260273972603,0.05,0.35156898437499995,Black-Scholes,0.0,0.0,0.0,-0.0,0.0
2025-09-12,call,247.5,234.07000732421875,-0.0027397260273972603,0.05,0.42188078125,Black-Scholes,0.0,0.0,0.0,-0.0,0.0
2025-09-12,call,250.0,234.07000732421875,-0.0027397260273972603,0.05,0.48438015625,Black-Scholes,0.0,0.0,0.0,-0.0,0.0
2025-09-12,call,252.5,234.07000732421875,-0.0027397260273972603,0.05,0.51562984375,Black-Scholes,0.0,0.0,0.0,-0.0,0.0
2025-09-12,call,255.0,234.07000732421875,-0.0027397260273972603,0.05,0.57812921875,Black-Scholes,0.0,0.0,0.0,-0.0,0.0
2025-09-12,call,257.5,234.07000732421875,-0.0027397260273972603,0.05,0.6250037500000001,Black-Scholes,0.0,0.0,0.0,-0.0,0.0
2025-09-12,call,260.0,234.07000732421875,-0.0027397260273972603,0.05,0.6875031250000001,Black-Scholes,0.0,0.0,0.0,-0.0,0.0
2025-09-12,call,265.0,234.07000732421875,-0.0027397260273972603,0.05,0.8125018749999999,Black-Scholes,0.0,0.0,0.0,-0.0,0.0
2025-09-12,call,270.0,234.07000732421875,-0.0027397260273972603,0.05,0.9062509375,Black-Scholes,0.0,0.0,0.0,-0.0,0.0
2025-09-12,call,275.0,234.07000732421875,-0.0027397260273972603,0.05,1.0312548437500002,Black-Scholes,0.0,0.0,0.0,-0.0,0.0
2025-09-12,call,280.0,234.07000732421875,-0.0027397260273972603,0.05,1.125004375,Black-Scholes,0.0,0.0,0.0,-0.0,0.0
2025-09-12,call,285.0,234.07000732421875,-0.0027397260273972603,0.05,1.21875390625,Black-Scholes,0.0,0.0,0.0,-0.0,0.0
2025-09-12,call,290.0,234.07000732421875,-0.0027397260273972603,0.05,1.3125034374999998,Black-Scholes,0.0,0.0,0.0,-0.0,0.0
